measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Slovenia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,750.8581287391996,831.0888526367046,681.3399899305688
Deaths,Slovakia,Both,All ages,Liver cancer due to alcohol use,Number,1980,105.56998790618277,143.16233819929485,71.72312880042195
Deaths,Slovakia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,2046.2694030740633,2440.7674882025835,1714.300662202461
Deaths,Slovakia,Both,All ages,Alcohol use disorders,Number,1980,155.2450975269999,191.5006787514098,118.46640413189482
Deaths,Slovakia,Both,All ages,Opioid use disorders,Number,1980,18.764725127025756,24.121931026710772,14.147544233020424
Deaths,Slovakia,Both,All ages,Diabetes mellitus,Number,1980,645.478795684251,759.4234178884096,556.9020873158584
Deaths,Slovakia,Both,All ages,Self-harm,Number,1980,799.9301029332163,896.0871439669862,698.4718062668858
Deaths,Israel,Both,All ages,Cardiovascular diseases,Number,1980,12375.20542566778,12728.695450674142,11782.276008219778
Deaths,Luxembourg,Both,All ages,Cardiovascular diseases,Number,1980,1918.5974780509118,1981.2279322338063,1833.3406539127486
Deaths,Australia,Both,All ages,Liver cancer due to alcohol use,Number,1980,74.91343379540108,94.6091554551693,56.46683351376161
Deaths,Australia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,5293.914875532778,5713.981682174239,4916.666290856165
Deaths,Australia,Both,All ages,Alcohol use disorders,Number,1980,224.64082670731074,236.16404132685304,212.6158850704514
Deaths,Australia,Both,All ages,Opioid use disorders,Number,1980,127.52032568249885,141.67440820193022,115.1187607221318
Deaths,Australia,Both,All ages,Diabetes mellitus,Number,1980,1653.0979582761445,1763.7675003073216,1538.6397197360811
Deaths,Luxembourg,Both,All ages,Liver cancer due to alcohol use,Number,1980,9.030673676488178,11.132061106166418,6.982301073400656
Deaths,Luxembourg,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,223.7148423724776,242.33478257395768,206.819354226771
Deaths,Australia,Both,All ages,Motor vehicle road injuries,Number,1980,2254.1900783873516,2313.740565486436,2193.382991915043
Deaths,Australia,Both,All ages,Cardiovascular diseases,Number,1980,53175.420093254535,54933.23974119329,50048.03085910886
Deaths,Turkey,Both,All ages,Cardiovascular diseases,Number,1980,90759.40350546058,103541.05421090512,80028.11061368826
Deaths,Luxembourg,Both,All ages,Road injuries,Number,1980,99.38818241041217,103.48812733860821,95.70108145679562
Deaths,Italy,Both,All ages,Liver cancer due to alcohol use,Number,1980,1024.2448444806525,1165.3643014286702,902.4548419951009
Deaths,Italy,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1980,26357.196476309735,27391.00118541391,25252.013787375457
Deaths,New Zealand,Both,All ages,Cardiovascular diseases,Number,1980,12279.115754192315,12682.137398841298,11582.256643632623
Deaths,Slovakia,Both,All ages,Police conflict and executions,Number,1980,0.0008929638854814462,0.0017387216741607985,0.0003837992152489656
Deaths,United States of America,Both,All ages,Self-harm,Number,1980,30091.872127539726,30790.908214601743,29362.12175720557
Deaths,Slovenia,Both,All ages,Alcohol use disorders,Number,1980,119.87851657922884,131.93761999130328,108.91267847878699
Deaths,Slovenia,Both,All ages,Opioid use disorders,Number,1980,12.139636552276523,15.742371124083137,9.296402641707072
Deaths,Slovenia,Both,All ages,Diabetes mellitus,Number,1980,180.1693480905151,194.56113234759277,163.45226177184688
Deaths,New Zealand,Both,All ages,Liver cancer due to alcohol use,Number,1980,20.88688777887306,24.196592133742225,18.210903141183078
