country name,country code,year,adjusted savings: education expenditure (current us$),current health expenditure (% of gdp),domestic credit to private sector (% of gdp),gdp (constant 2015 us$),labor force with advanced education (% of total working-age population with advanced education),labor force with intermediate education (% of total working-age population with intermediate education),labor force with basic education (% of total working-age population with basic education),market capitalization of listed domestic companies (% of gdp),military expenditure (% of gdp),out-of-pocket expenditure (% of current health expenditure),research and development expenditure (% of gdp),"stocks traded, total value (% of gdp)"
Australia,AUS,1960,,,19.1163546620117,204552693089.7354,,,,,2.3695451396906,,,
Australia,AUS,1961,,,17.6294526004325,209630955779.9376,,,,,2.41513985411521,,,
Australia,AUS,1962,,,18.6474027434225,212344121294.87695,,,,,2.3636953699697103,,,
Australia,AUS,1963,,,19.2834858569052,225544205184.52307,,,,,2.44663463919568,,,
Australia,AUS,1964,,,20.1115241635688,241288179166.1018,,,,,2.64824279705097,,,
Australia,AUS,1965,,,21.1266330358298,255718059201.20657,,,,,2.952292961532,,,
Australia,AUS,1966,,,22.3808547288984,261801097293.83432,,,,,3.45138290370603,,,
Australia,AUS,1967,,,23.0959125859976,278307830410.4073,,,,,3.79376396722358,,,
Australia,AUS,1968,,,23.9973980622411,292484137221.4898,,,,,3.83727358459887,,,
Australia,AUS,1969,,,24.8224590113883,313090190822.92474,,,,,3.3859198800219197,,,
Australia,AUS,1970,2035614364.41483,,23.2776046606151,335556914435.48193,,,,,2.96603557682305,,,
Australia,AUS,1971,2227466095.05208,,23.6156246903795,348981339247.1852,,,,,2.76315170889944,,,
Australia,AUS,1972,2581218502.12383,,24.669450243563,362627385697.0418,,,,,2.68562060485785,,,
Australia,AUS,1973,3181539617.13517,,28.3655158570855,372125844372.7453,,,,,2.37934679594664,,,
Australia,AUS,1974,4416223331.16581,,27.8569298565323,387410259374.5949,,,,,2.26280269948392,,,
Australia,AUS,1975,4857291904.67295,,27.3387130727668,392587775927.28296,,,,,2.26731559253735,,,1.2034570205599604
Australia,AUS,1976,5233459726.55744,,27.8520180448241,402751099517.44666,,,,,2.21661210675248,,,1.2754694533762057
Australia,AUS,1977,5458152211.97293,,27.383033793125,417230606483.7943,,,,,2.24720220833707,,,1.343907570449986
Australia,AUS,1978,5970439882.69795,,28.0477450551124,420958064894.8222,,,,,2.2156885699105797,,,0.7452002931713911
Australia,AUS,1979,6662842212.88195,,28.6517166171232,438008654792.1397,,,,28.870016379651545,2.19272937103289,,,1.4865343390792498
Australia,AUS,1980,7420947075.2089,,27.8414257272754,451305273260.368,,,,39.78284827875672,2.24895690403517,,,3.2992519240483764
Australia,AUS,1981,8815221177.29015,,27.9250187059426,466378263938.7031,,,,30.741538051825305,2.2966019447106403,,,4.402761544520144
Australia,AUS,1982,9517157674.05935,,27.0465776170411,481886340041.63385,,,,21.400810588716972,2.3932652161369203,,,2.53637942475989
Australia,AUS,1983,8795554515.6762,,28.7876164128989,471166922893.1588,,,,30.483136709036383,2.51981181916526,,,5.266001713513399
Australia,AUS,1984,9751151965.22369,,30.3145737203186,492801545631.1769,,,,25.806029627041543,2.50523365070013,,,5.223487149031756
Australia,AUS,1985,8906995474.41895,,37.0245652773944,518814215454.1886,,,,32.88366581286651,2.52326837870517,,,8.449564074630034
Australia,AUS,1986,8781988668.15894,,40.2918728700832,539388997290.7308,,,,65.37861163581441,2.54042975157867,,,12.418652263413922
Australia,AUS,1987,8744388565.3785,,42.7758745324826,553211117373.3534,,,,81.45731771345159,2.37298883241393,,,30.34429838695596
Australia,AUS,1988,10661832072.1769,,46.7147505021998,585042374929.3557,,,,58.28565997298597,2.16181488266294,,,17.346368594086982
Australia,AUS,1989,13126801563.3906,,59.2549046229041,607734119284.946,,,,46.80451227571787,2.0518275094775,,,14.52252091143846
Australia,AUS,1990,13225834551.7507,,60.5569626508852,629485671230.8241,,,,34.65923626005016,2.07590585971773,,,12.904127644102347
Australia,AUS,1991,13767292991.131,,60.1161995179632,627081824259.9332,,,,44.42865059426323,2.16804285831077,,,14.011017675785716
Australia,AUS,1992,14083930631.3927,,61.8614584982198,629763718009.9797,,,,41.51936599804853,2.16874608012627,,,12.91948550275828
Australia,AUS,1993,15799092186.6217,,63.2812649559566,655238649441.0302,,,,65.5060013515795,2.17802988646311,,,21.375809077013468
Australia,AUS,1994,16417142857.1429,,66.7698738349503,681315222435.7794,,,,67.80158036244323,2.11659858893427,,,30.851196299487153
Australia,AUS,1995,17365559281.6732,,69.7737485832295,707771815356.0739,,,,66.60536675580724,2.02131256804327,,,26.67202941639138
Australia,AUS,1996,20130628224.5827,,71.4967689789005,735119653575.8134,,,,77.85814167131345,1.93044006740518,,1.66231000423431,36.11982875442607
Australia,AUS,1997,20491704455.2355,,75.3187304393127,763886278172.3203,,,,67.8917907317938,1.86733439499343,,,34.4804998649996
Australia,AUS,1998,18371616353.795,,79.1106668929469,799508217490.1122,,,,82.2991069961306,1.87112181310612,,1.5135600566864,38.915077255956824
Australia,AUS,1999,18062814735.4932,,84.0544793480935,839704672154.9417,,,,109.7992894078066,1.88923574072912,,,51.0220124122115
Australia,AUS,2000,19506490234.2524,7.59412289,87.5351786851453,872633840587.0721,,,,89.57789057204599,1.82984191251005,20.99713898,1.5731999874115,51.234935107223166
Australia,AUS,2001,17861632607.0624,7.67809916,88.3590787133765,890305786856.3903,80.325,73.427,49.143,98.81502516922204,1.87009387891872,20.43909836,,63.36978176829017
Australia,AUS,2002,18696157377.5639,7.87627029,91.2177033536445,925736696479.9456,79.366,73.509,49.315,96.03280837217726,1.87396462061393,19.92001152,1.74749004840851,73.51043699114015
Australia,AUS,2003,22135819918.4625,7.88087225,99.1347105275741,954348321893.9402,78.102,72.199,50.514,125.18297386279303,1.84628968871455,19.14758873,,90.15061991164328
Australia,AUS,2004,29161787580.0256,8.08708572,102.611545762354,994663065408.5815,79.738,72.447,49.947,126.31418754410711,1.82741076940486,19.21869659,1.84902000427246,88.65427027262236
Australia,AUS,2005,32808782138.0243,7.97029352,108.433078240274,1026036123626.8068,79.869,74.141,49.156,115.57036467232952,1.80249267959937,19.64301491,,88.0660994478314
Australia,AUS,2006,34432769392.0335,7.97702456,113.601509731452,1054306478910.8842,80.648,73.565,49.334,146.42333565030287,1.82233092604478,19.74941826,2.18010997772217,114.767980166225
Australia,AUS,2007,38043117531.6008,8.05496502,120.511803195287,1094089602422.348,79.893,74.149,49.742,151.84838763258443,1.81227323422698,19.00255966,,160.61376146031813
Australia,AUS,2008,46577367949.8655,8.24855137,121.713420287771,1133326149869.163,80.417,74.648,49.494,64.75367038520076,1.79668808931838,19.04162598,2.39995002746582,79.51179423520107
Australia,AUS,2009,43012198498.0121,8.54473877,122.507455358702,1154775181480.752,86.72,82.54,66.36,135.8700262597014,1.92393833394007,19.05284309,,90.60243515912356
Australia,AUS,2010,56087531401.3915,8.42025661,125.190669739101,1180486690611.4265,86.33,81.77,64.76,126.5996149701506,1.85292825768668,19.74928665,2.37074995040894,98.4721907900376
Australia,AUS,2011,65103659173.8147,8.53744984,122.159874233758,1208924281855.5825,86.64,82.52,64.78,85.66427944778738,1.75565694660719,19.17248344,2.23483991622925,80.68076303493248
Australia,AUS,2012,75743334708.1873,8.67456913,121.171074845894,1256294887279.4084,86.86,81.97,65.44,89.6116116177691,1.6709639653849102,19.93433952,,58.51877595884738
Australia,AUS,2013,76161147744.5621,8.75058746,124.689961526028,1289036425122.182,82.58,76.14,52.14,86.60093427817125,1.6391801995446105,19.52692413,2.17843008041382,49.95120717668664
Australia,AUS,2014,69449484926.8878,9.83354282,128.413228923657,1322646774172.1948,81.28,75.19,51.49,87.75094423541864,1.77305887756791,17.84737015,,47.90187365724529
Australia,AUS,2015,66295707011.2121,10.18225861,136.306305060889,1351768945139.1135,82.09,75.81,49.54,87.81703813130835,1.9536335918401,17.20188141,1.92070996761322,55.52992933439156
Australia,AUS,2016,59029245773.5312,10.09288597,142.575813360775,1389336532090.019,81.42,76.07,49.27,105.04418421291136,2.0885308793071,16.94656563,,65.83220666709332
Australia,AUS,2017,64658985215.0679,10.12281322,140.531327029043,1421551208676.4463,81.8,75.45,49.4,113.6847647974,2.00423407657625,16.60431671,1.87977004051208,63.51519188059462
Australia,AUS,2018,69322524330.2439,10.05971909,139.830901887313,1462866648667.6577,77.779,70.832,43.018,88.32416121264627,1.89567007851003,16.24427223,,54.137838901290735
Australia,AUS,2019,67425211189.5042,10.21965981,136.024518942618,1494773366351.9883,78.07,70.938,43.275,106.6630160317829,1.88104345418486,14.73396778,1.82892000675201,59.81524137419502
Australia,AUS,2020,64987464910.2899,10.6837368,142.019490413059,1489770563790.1145,76.834,69.28,40.46,129.32802522582307,2.01064009885885,14.91264343,,92.1663581918968
Australia,AUS,2021,76931642189.4622,10.54363918,138.48009872152,1521231998735.2102,76.587,69.622,39.375,121.06221448965316,1.98912270035816,13.82497215,,68.51646641348536
Australia,AUS,2022,,,133.854726052958,1586172577281.9646,,,,99.18576078830466,1.89882434777792,,,64.35132240529595
Australia,AUS,2023,,,127.744595975741,1634027215240.6533,,,,,,,,
Austria,AUT,1960,,,,84295314542.46445,,,,,1.4581856994971,,,
Austria,AUT,1961,,,,88963571626.8957,,,,,1.30933752302764,,,
Austria,AUT,1962,,,,91319927608.17113,,,,,1.35207185896469,,,
Austria,AUT,1963,,,,95098990567.89355,,,,,1.5796677583820098,,,
Austria,AUT,1964,,,,100923189151.18526,,,,,1.88730024255788,,,
Austria,AUT,1965,,,,104435492666.46596,,,,,1.50721338742394,,,
Austria,AUT,1966,,,,110328642781.45956,,,,,1.6244051316426498,,,
Austria,AUT,1967,,,,113647381090.94046,,,,,1.60916641574175,,,
Austria,AUT,1968,,,,118730047442.40248,,,,,1.54267474905488,,,
Austria,AUT,1969,,,,126181387506.0994,,,,,1.49925656716418,,,
Austria,AUT,1970,494196280.497485,,,135169130645.02414,,,,,1.38013012131531,,,
Austria,AUT,1971,610415417.997578,,,142082989214.1288,,,,,1.2461069539106802,,,
Austria,AUT,1972,775330046.431336,,,150903303811.96237,,,,,1.20228666458138,,,
Austria,AUT,1973,1036766782.62703,,,158283132276.33307,,,,,1.1849885730058,,,
Austria,AUT,1974,1273197270.31802,,,164522871893.8389,,,,,1.27688251935917,,,
Austria,AUT,1975,1609307545.23189,,,163924443911.6385,,,,3.245221523454913,1.45127836371395,,,0.1672524381131523
Austria,AUT,1976,1809479424.71428,,,171429635128.008,,,,3.4917151542753087,1.36519681077057,,,0.223463810838664
Austria,AUT,1977,2117673553.40938,,,180138227325.3201,,,,2.8905190885761316,1.34595189062191,,,0.1435617625908652
Austria,AUT,1978,2672097052.02312,,,179758759493.05878,,,,28.120555577842676,1.42921261189068,,,0.136981314249433
Austria,AUT,1979,3185085598.55893,,,189387896783.51617,,,,2.813573237642323,1.43384573169429,,,0.1233477605288614
Austria,AUT,1980,3532329671.34652,,,192667120935.9416,,,,2.383665501474431,1.42024610611492,,,0.128322440736631
Austria,AUT,1981,3405770575.42768,,,192389112509.96347,,,,2.229390020431304,1.38005173349012,,,0.1186751821589379
Austria,AUT,1982,3493625849.80237,,,196258547592.12128,,,,2.118097381966183,1.41299673018358,,,0.1025600912920141
Austria,AUT,1983,3470486961.85078,,,202093486979.0471,,,,2.118869191217649,1.39117588416479,,,0.1838576414327521
Austria,AUT,1984,3268307390.13823,,,202197109935.46704,,,,2.1853092052003342,1.41415833617155,,,0.1668006541537722
Austria,AUT,1985,3405964418.06332,,,207249365643.95923,,,,6.631753730093661,1.51262356650052,,,1.1554507423630227
Austria,AUT,1986,5044716000.0,,,212018988476.7452,,,,6.721150807979114,1.5087585414904,,,1.2072357615366676
Austria,AUT,1987,6201933336.96125,,,214896442478.29477,,,,6.393476343913118,1.41667790274506,,,1.114397484388198
Austria,AUT,1988,6417941932.46405,,,221979171128.37833,,,,7.52239789562897,1.29918114420184,,,1.4921696389584955
Austria,AUT,1989,6279535427.97714,,,230607667590.1162,,,,18.22801785889981,1.23415492526247,,,19.690771487494356
Austria,AUT,1990,7692105859.85719,,,240629049863.28345,,,,15.811134570843189,1.19566026670559,,,34.64506599539119
Austria,AUT,1991,8335854123.74779,,,248910606082.17444,,,,13.94287212856042,1.15421711847241,,,4.422392102064526
Austria,AUT,1992,9191344659.40394,,,254121610895.05728,,,,10.123995104878514,1.09921407158669,,,2.4387972552072092
Austria,AUT,1993,8972634109.78351,,,255460346929.85965,,,,13.782003612821134,1.11558454134251,,,3.4594808585738894
Austria,AUT,1994,10178965893.8813,,,261596808649.45456,,,,14.15959693847942,1.09445307622703,,,4.310285472834552
Austria,AUT,1995,12245665893.2714,,,268576168421.57016,85.14,71.305,47.806,12.702272689207076,1.07323205206951,,,5.393670181686921
Austria,AUT,1996,11618757213.4131,,,274886456416.22644,82.461,71.632,45.417,13.451832400501193,1.04968297742271,,1.58077001571655,4.357580044535777
Austria,AUT,1997,11209318633.5657,,,280641477589.6405,83.663,70.824,44.326,17.303444576347992,1.04643398189713,,1.65490996837616,5.6729922623415305
Austria,AUT,1998,12318230179.8358,,,290692443914.5233,85.409,71.737,43.621,1.1913227979846457,1.01807286299799,,1.73154997825623,8.27288459118291
Austria,AUT,1999,12444138750.3595,,,301030430129.082,80.189,71.735,43.779,15.199797315050247,0.9802461233822132,,1.845370054245,5.437363701553984
Austria,AUT,2000,10486248299.9668,9.2,,311192381028.41394,81.693,71.085,43.328,15.173235757928316,0.98031858008593,17.82,1.88601994514465,4.899274341713647
Austria,AUT,2001,10655993810.636,9.27,89.7133618797227,315135711888.11316,82.384,70.365,42.266,12.761129336023137,0.9082400407095088,18.46,1.99210000038147,3.702969686327124
Austria,AUT,2002,11403555350.464,9.39,88.5215255732021,320340348097.0038,80.839,70.502,43.666,15.661816218232207,0.8835278365730901,18.61,2.06597995758057,3.035189275243746
Austria,AUT,2003,13787068862.6703,9.55,87.8063658946774,323356259321.6874,81.103,71.15,43.188,21.550946523173952,0.913640318789259,18.89,2.17456007003784,4.589031671177515
Austria,AUT,2004,15473566428.8337,9.71,87.7658457296124,332200441760.8241,74.709,65.947,35.216,29.11728914890442,0.893480466242935,19.3,2.16612005233765,8.6007761174308
Austria,AUT,2005,16055026393.1866,9.63,94.3241057572639,339655236682.6756,75.864,65.659,36.226,39.94133380468802,0.850142574026263,19.18,2.37323999404907,13.707434082757652
Austria,AUT,2006,17089221061.747,9.53,94.4376064246562,351387070656.3396,76.376,65.603,36.822,57.324334816781594,0.785813244459197,18.81,2.35923004150391,24.672946392083578
Austria,AUT,2007,19478541562.3641,9.53,92.9198838909934,364484726093.49194,77.157,66.278,38.557,60.75466494942323,0.90045717278703,18.81,2.41843008995056,33.180888361374365
Austria,AUT,2008,22087744652.1658,9.73,95.8129663576874,369807747327.81226,75.445,66.772,37.771,17.657298511224873,0.8707051230705851,18.24,2.56944990158081,22.714222968116086
Austria,AUT,2009,22287947468.9573,10.23,97.7395746664,355886045571.6638,75.841,66.642,37.654,28.394172877545543,0.8333795646929241,18.05,2.59674000740051,12.821067821856769
Austria,AUT,2010,21360049278.66,10.22,98.5283239444693,362424005611.4763,75.466,66.63,36.928,32.12846231328518,0.8212327115306209,18.6,2.72609996795654,12.45009155469956
Austria,AUT,2011,23389597878.7413,10.03,96.0610992869862,373016924602.9138,76.071,66.309,37.433,19.752707892104333,0.7908975584520309,18.74,2.66867995262146,8.985220813567578
Austria,AUT,2012,21351372422.9522,10.2,94.2237990260504,375555101767.1521,76.648,66.52,36.817,25.900417595341636,0.7784642506470361,18.67,2.91472005844116,5.774168328819098
