Country,mean,median
Switzerland,82.18,82.45
Australia,81.98,82.10
Iceland,81.73,81.80
Sweden,81.45,81.60
Norway,81.17,81.10
Canada,81.10,81.40
Republic of Korea,80.69,81.00
Netherlands,80.50,80.90
Austria,80.45,80.65
Luxembourg,80.45,80.70
Ireland,80.15,80.55
Belgium,80.03,80.15
Germany,80.00,80.25
Denmark,79.39,79.50
United States,78.16,78.40
