measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Austria,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,3420.7648134329665,3595.455932794641,3201.0476564639876
Deaths,Germany,Both,All ages,Alcohol use disorders,Number,1995,6363.9546420965025,6594.569617764832,6162.248853241063
Deaths,Germany,Both,All ages,Opioid use disorders,Number,1995,1279.395345942288,1378.0875610254548,1183.3530552141049
Deaths,Germany,Both,All ages,Diabetes mellitus,Number,1995,23958.758899645487,25777.43088651628,21668.428582323024
Deaths,Germany,Both,All ages,Self-harm,Number,1995,14373.65483200678,14777.516195738997,13928.981723796498
Deaths,Latvia,Both,All ages,Diabetes mellitus,Number,1995,312.2804116293731,331.8744302540699,290.6946764787552
Deaths,Austria,Both,All ages,Self-harm,Number,1995,1797.0317640358057,1846.479567734261,1743.9197590866825
Deaths,Latvia,Both,All ages,Police conflict and executions,Number,1995,0.023483330466559874,0.03618743298023382,0.01595372298309223
Deaths,Germany,Both,All ages,Police conflict and executions,Number,1995,5.226846760619994,8.076634277748289,3.469394603311953
Deaths,Lithuania,Both,All ages,Alcohol use disorders,Number,1995,1413.582767518262,1484.7149770828926,1349.5491629898431
Deaths,Lithuania,Both,All ages,Opioid use disorders,Number,1995,65.57710875967271,71.88064048471507,58.29077566950247
Deaths,Lithuania,Both,All ages,Diabetes mellitus,Number,1995,244.05278644788635,259.09488438976683,228.16593841758694
Deaths,Belgium,Both,All ages,Cardiovascular diseases,Number,1995,37303.46320217965,39452.533723307286,33648.27418084171
Deaths,Hungary,Both,All ages,Cardiovascular diseases,Number,1995,72702.63015095827,74910.07582563278,69354.01565226285
Deaths,Belgium,Both,All ages,Road injuries,Number,1995,1721.8155244214422,1773.1510155593598,1674.814072177702
Deaths,Belgium,Both,All ages,Motor vehicle road injuries,Number,1995,911.7561887597132,940.1137905438873,881.4683187740019
Deaths,Chile,Both,All ages,Cardiovascular diseases,Number,1995,21455.626866158032,22143.91110986923,20259.022057215698
Deaths,Hungary,Both,All ages,Road injuries,Number,1995,1858.6901199736883,1933.7544389269112,1794.4528883689154
Deaths,Hungary,Both,All ages,Motor vehicle road injuries,Number,1995,778.1486687680699,814.8416190780756,741.4531611512322
Deaths,Slovenia,Both,All ages,Cardiovascular diseases,Number,1997,7528.8504662025225,7910.954390076203,6956.993345852098
Deaths,Latvia,Both,All ages,Alcohol use disorders,Number,1995,649.3223828854582,677.9155661195681,619.6190877327808
Deaths,Denmark,Both,All ages,Liver cancer due to alcohol use,Number,1995,73.74700277085344,93.39643473718247,57.123856433969756
Deaths,Denmark,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,3924.7031069890713,4100.452117655026,3717.453657157638
Deaths,Denmark,Both,All ages,Opioid use disorders,Number,1995,169.75061809939223,186.34209355385804,153.76250717570727
Deaths,Denmark,Both,All ages,Diabetes mellitus,Number,1995,856.7350065168209,904.5483654206176,797.502890945053
Deaths,Slovenia,Both,All ages,Road injuries,Number,1997,337.045834815786,351.81010620555395,322.98604340962777
Deaths,Slovenia,Both,All ages,Motor vehicle road injuries,Number,1997,184.10505904700423,193.59163952559052,174.38142663991732
Deaths,Lithuania,Both,All ages,Self-harm,Number,1995,1856.918452586504,1940.1120600506435,1777.9139442151247
Deaths,Lithuania,Both,All ages,Police conflict and executions,Number,1995,0.01937714244985696,0.033055741501259193,0.01284532720134979
Deaths,Greece,Both,All ages,Self-harm,Number,1995,405.02873686039146,421.42066988444526,389.0222131777888
Deaths,Australia,Both,All ages,Liver cancer due to alcohol use,Number,1997,234.7770318213688,299.25435280439285,178.09893344287906
Deaths,Australia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1997,7040.194001001445,7386.54210565899,6633.219618043436
Deaths,Australia,Both,All ages,Alcohol use disorders,Number,1997,302.3978322659195,315.77079331502415,289.4937442669288
Deaths,Australia,Both,All ages,Opioid use disorders,Number,1997,603.733758566817,651.3957699266945,556.7610934450079
Deaths,Australia,Both,All ages,Diabetes mellitus,Number,1997,2899.0456484062656,3118.3308736121535,2621.4069854685795
Deaths,Australia,Both,All ages,Police conflict and executions,Number,1997,3.5000587230452087,4.862143955624989,2.521835556383229
Deaths,Iceland,Both,All ages,Cardiovascular diseases,Number,1995,772.2843049295105,819.3370144030396,689.3084248226209
Deaths,New Zealand,Both,All ages,Alcohol use disorders,Number,1997,31.17139140213376,32.79974816893549,29.43722707873859
Deaths,New Zealand,Both,All ages,Opioid use disorders,Number,1997,27.187114689829077,30.57727353308654,24.328822329244346
Deaths,New Zealand,Both,All ages,Self-harm,Number,1997,587.7257148560944,607.7766189291423,566.8630885072249
Deaths,United States of America,Both,All ages,Cardiovascular diseases,Number,1995,910725.4738065581,957571.0417352798,812010.8402638356
Deaths,Poland,Both,All ages,Alcohol use disorders,Number,1995,3558.400029521766,3627.5728778070093,3487.1811491171843
Deaths,Denmark,Both,All ages,Police conflict and executions,Number,1995,0.022103436566393117,0.03037312986353117,0.01757280398284717
